1,Anchor,Apple,Bomb,Cactus,Candle,Carrot,Cheese,Chessknight
2,Anchor,Clock,Clown,Diasyflower,Dinosaur,Dolphin,Dragon,Exclamationmark
3,Anchor,Eye,Fire,Fourleafclover,Ghost,Greensplats,Hammer,Heart
4,Anchor,IceCube,Igloo,Key,Ladybird,LightBulb,LightningBolt,Lock
5,Anchor,MapleLeaf,MilkBottle,Moon,NoEntrySign,ScarecrowMan,Pencil,PurpleBird
6,Anchor,PurpleCat,logo,QuestionMark,Redlips,Scissors,SkullAndCrossbones,Snowflake
7,Anchor,Snowman,Spider,Spidersweb,Sun,Sunglasses,Target,Taxi
8,Anchor,Tortoise,Trebleclef,Tree,Waterdrop,Dog,Yinandyang,Zebra
9,Apple,Clock,Eye,IceCube,MapleLeaf,PurpleCat,Snowman,Tortoise
10,Apple,Clown,Fire,Igloo,MilkBottle,logo,Spider,Trebleclef
11,Apple,Diasyflower,Fourleafclover,Key,Moon,QuestionMark,Spidersweb,Tree
12,Apple,Dinosaur,Ghost,Ladybird,NoEntrySign,Redlips,Sun,Waterdrop
13,Apple,Dolphin,Greensplats,LightBulb,ScarecrowMan,Scissors,Sunglasses,Dog
14,Apple,Dragon,Hammer,LightningBolt,Pencil,SkullAndCrossbones,Target,Yinandyang
15,Apple,Exclamationmark,Heart,Lock,PurpleBird,Snowflake,Taxi,Zebra
16,Bomb,Clock,Fire,Key,NoEntrySign,Scissors,Target,Zebra
17,Bomb,Clown,Fourleafclover,Ladybird,ScarecrowMan,SkullAndCrossbones,Taxi,Tortoise
18,Bomb,Diasyflower,Ghost,LightBulb,Pencil,Snowflake,Snowman,Trebleclef
19,Bomb,Dinosaur,Greensplats,LightningBolt,PurpleBird,PurpleCat,Spider,Tree
20,Bomb,Dolphin,Hammer,Lock,MapleLeaf,logo,Spidersweb,Waterdrop
21,Bomb,Dragon,Heart,IceCube,MilkBottle,QuestionMark,Sun,Dog
22,Bomb,Exclamationmark,Eye,Igloo,Moon,Redlips,Sunglasses,Yinandyang
23,Cactus,Clock,Fourleafclover,LightBulb,PurpleBird,logo,Sun,Yinandyang
24,Cactus,Clown,Ghost,LightningBolt,MapleLeaf,QuestionMark,Sunglasses,Zebra
25,Cactus,Diasyflower,Greensplats,Lock,MilkBottle,Redlips,Target,Tortoise
26,Cactus,Dinosaur,Hammer,IceCube,Moon,Scissors,Taxi,Trebleclef
27,Cactus,Dolphin,Heart,Igloo,NoEntrySign,SkullAndCrossbones,Snowman,Tree
28,Cactus,Dragon,Eye,Key,ScarecrowMan,Snowflake,Spider,Waterdrop
29,Cactus,Exclamationmark,Fire,Ladybird,Pencil,PurpleCat,Spidersweb,Dog
30,Candle,Clock,Ghost,Lock,Moon,SkullAndCrossbones,Spider,Dog
31,Candle,Clown,Greensplats,IceCube,NoEntrySign,Snowflake,Spidersweb,Yinandyang
32,Candle,Diasyflower,Hammer,Igloo,ScarecrowMan,PurpleCat,Sun,Zebra
33,Candle,Dinosaur,Heart,Key,Pencil,logo,Sunglasses,Tortoise
34,Candle,Dolphin,Eye,Ladybird,PurpleBird,QuestionMark,Target,Trebleclef
35,Candle,Dragon,Fire,LightBulb,MapleLeaf,Redlips,Taxi,Tree
36,Candle,Exclamationmark,Fourleafclover,LightningBolt,MilkBottle,Scissors,Snowman,Waterdrop
37,Carrot,Clock,Greensplats,Igloo,Pencil,QuestionMark,Taxi,Waterdrop
38,Carrot,Clown,Hammer,Key,PurpleBird,Redlips,Snowman,Dog
39,Carrot,Diasyflower,Heart,Ladybird,MapleLeaf,Scissors,Spider,Yinandyang
40,Carrot,Dinosaur,Eye,LightBulb,MilkBottle,SkullAndCrossbones,Spidersweb,Zebra
41,Carrot,Dolphin,Fire,LightningBolt,Moon,Snowflake,Sun,Tortoise
42,Carrot,Dragon,Fourleafclover,Lock,NoEntrySign,PurpleCat,Sunglasses,Trebleclef
43,Carrot,Exclamationmark,Ghost,IceCube,ScarecrowMan,logo,Target,Tree
44,Cheese,Clock,Hammer,Ladybird,MilkBottle,Snowflake,Sunglasses,Tree
45,Cheese,Clown,Heart,LightBulb,Moon,PurpleCat,Target,Waterdrop
46,Cheese,Diasyflower,Eye,LightningBolt,NoEntrySign,logo,Taxi,Dog
47,Cheese,Dinosaur,Fire,Lock,ScarecrowMan,QuestionMark,Snowman,Yinandyang
48,Cheese,Dolphin,Fourleafclover,IceCube,Pencil,Redlips,Spider,Zebra
49,Cheese,Dragon,Ghost,Igloo,PurpleBird,Scissors,Spidersweb,Tortoise
50,Cheese,Exclamationmark,Greensplats,Key,MapleLeaf,SkullAndCrossbones,Sun,Trebleclef
51,Chessknight,Clock,Heart,LightningBolt,ScarecrowMan,Redlips,Spidersweb,Trebleclef
52,Chessknight,Clown,Eye,Lock,Pencil,Scissors,Sun,Tree
53,Chessknight,Diasyflower,Fire,IceCube,PurpleBird,SkullAndCrossbones,Sunglasses,Waterdrop
54,Chessknight,Dinosaur,Fourleafclover,Igloo,MapleLeaf,Snowflake,Target,Dog
55,Chessknight,Dolphin,Ghost,Key,MilkBottle,PurpleCat,Taxi,Yinandyang
56,Chessknight,Dragon,Greensplats,Ladybird,Moon,logo,Snowman,Zebra
57,Chessknight,Exclamationmark,Hammer,LightBulb,NoEntrySign,QuestionMark,Spider,Tortoise
